"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/","1","Matériel Beaux‑Arts & Loisirs Créatifs – Rougier & Plé","54","","0","Indexable",""
"https://www.rougier-ple.fr/modes-paiement.r.html","1","POUR PAYER VOTRE COMMANDE PAR CHEQUE, VIREMENT OU CARTE CADEAU :","64","","0","Indexable",""
"https://www.rougier-ple.fr/peinture-textile.r.html","1","Peinture textile Feutre textile","31","","0","Indexable",""
"https://www.rougier-ple.fr/medium-additif-pigment.r.html","1","Médium, Additif et Pigment","26","","0","Indexable",""
"https://www.rougier-ple.fr/craie-ardoise-enfant.r.html","1","Craie, Ardoise","14","","0","Indexable",""
"https://www.rougier-ple.fr/chassis-sur-mesure.r.html","1","Châssis sur mesure","18","","0","Indexable",""
"https://www.rougier-ple.fr/peinture-aquarelle.r.html","1","Peinture Aquarelle","18","","0","Indexable",""
"https://www.rougier-ple.fr/livre-artisanat-art.r.html","1","Livre artisanat d'art","21","","0","Indexable",""
"https://www.rougier-ple.fr/peinture-1597.r.html","1","Peinture enfant Gouache, acrylique","34","","0","Indexable",""
"https://www.rougier-ple.fr/linogravure.r.html","1","Linogravure","11","","0","Indexable",""
"https://www.rougier-ple.fr/planche-dessin-compas-equerre.r.html","1","Planche à dessin, compas, équerre","33","","0","Indexable",""
"https://www.rougier-ple.fr/cahier-de-coloriage.r.html","1","Cahier de coloriage enfant","26","","0","Indexable",""
"https://www.rougier-ple.fr/marques/dejou.r.html","1","fleur en bois Dejou","19","","0","Indexable",""
"https://www.rougier-ple.fr/confection-bricolage-enfant.r.html","1","Confection, Bricolage enfant","28","","0","Indexable",""
"https://www.rougier-ple.fr/jeux-societe.r.html","1","Jeu de société, Jeu éducatif, Jouet","35","","0","Indexable",""
"https://www.rougier-ple.fr/enfant-vernis-papier-decopatch.r.html","1","Vernis colle, Papier décopatch","30","","0","Indexable",""
"https://www.rougier-ple.fr/couture-mode.r.html","1","Accessoire Mercerie Accessoire Couture","38","","0","Indexable",""
"https://www.rougier-ple.fr/jesmonite.r.html","1","Jesmonite","9","","0","Indexable",""
"https://www.rougier-ple.fr/fil-metallique.r.html","1","Fil métallique","14","","0","Indexable",""
"https://www.rougier-ple.fr/coffret-arts-graphiques.r.html","1","Coffret de Calligraphie, Encre, Feutre, Mallette, Pinceau, Posca, ...","69","","0","Indexable",""
"https://www.rougier-ple.fr/platre-1787.r.html","1","Plâtre de moulage","17","","0","Indexable",""
"https://www.rougier-ple.fr/aquarelle-miel.r.html","1","Aquarelle au miel","17","","0","Indexable",""
"https://www.rougier-ple.fr/stylo-effacable.r.html","1","Stylo effaçable","15","","0","Indexable",""
"https://www.rougier-ple.fr/livre-beaux-arts.r.html","1","Livre Beaux-Arts","16","","0","Indexable",""
"https://www.rougier-ple.fr/livre-loisir.r.html","1","Livre loisir","12","","0","Indexable",""
"https://www.rougier-ple.fr/gommette-sticker.r.html","1","Gommette et Sticker","19","","0","Indexable",""
"https://www.rougier-ple.fr/carnet-de-croquis-1586.r.html","1","Carnet de croquis","17","","0","Indexable",""
"https://www.rougier-ple.fr/impression.r.html","0","","0","","0","Indexable",""
"https://www.rougier-ple.fr/machine-de-decoupe.r.html","1","Machine de découpe","18","","0","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/aquarelle.r.html","1","Aquarelle","9","","0","Indexable",""
"https://www.rougier-ple.fr/perle-bijou.r.html","1","Perle, bijou","12","","0","Indexable",""
"https://www.rougier-ple.fr/tranchefile-signet-1595.r.html","1","Tranchefile et Signet","21","","0","Indexable",""
"https://www.rougier-ple.fr/faber-castell.r.html","1","Faber-Castell","13","","0","Indexable",""
"https://www.rougier-ple.fr/carte-enveloppe-bloc.r.html","1","Carte, enveloppe, bloc","22","","0","Indexable",""
"https://www.rougier-ple.fr/plume-pompon-paillette.r.html","1","Plume, Pompon, Paillette","24","","0","Indexable",""
"https://www.rougier-ple.fr/les-marques.r.html","1","Les marques chez Rougier & Plé","30","","0","Indexable",""
"https://www.rougier-ple.fr/encre-de-chine-2997.r.html","1","Encre de chine","14","","0","Indexable",""
"https://www.rougier-ple.fr/aerographie.r.html","1","Tag, Street Art Aérographie","27","","0","Indexable",""
"https://www.rougier-ple.fr/sac-artiste-carton-dessin-1588.r.html","1","Sac d'artiste et Carton à dessin","32","","0","Indexable",""
"https://www.rougier-ple.fr/cricut-autopress-professionnelle.r.html","1","Autopress professionnelle - Cricut","34","","0","Indexable",""
"https://www.rougier-ple.fr/peinture-gouache.r.html","1","Gouache","7","","0","Indexable",""
"https://www.rougier-ple.fr/stylo-quatre-couleurs.r.html","1","Stylo 4 couleurs","16","","0","Indexable",""
"https://www.rougier-ple.fr/reliure.r.html","1","Matériel de reliure","19","","0","Indexable",""
"https://www.rougier-ple.fr/faq.r.html","1","FOIRE AUX QUESTIONS","19","","0","Indexable",""
"https://www.rougier-ple.fr/enfant-deco-anniversaire.r.html","1","Décoration anniversaire","23","","0","Indexable",""
"https://www.rougier-ple.fr/book.r.html","1","Book de présentation Press Book","31","","0","Indexable",""
"https://www.rougier-ple.fr/pate-modeler-1598.r.html","1","Pâte à modeler pour enfant","26","","0","Indexable",""
"https://www.rougier-ple.fr/papier-technique.r.html","1","Papier technique Papier calque","30","","0","Indexable",""
"https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","1","Accessoires Arts Graphique","26","","0","Indexable",""
"https://www.rougier-ple.fr/gomme-1591.r.html","1","Gomme","5","","0","Indexable",""
"https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","1","Cadre en bois","13","","0","Indexable",""
"https://www.rougier-ple.fr/cyanotype.r.html","1","Cyanotype","9","","0","Indexable",""
