"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.rougier-ple.fr/phproduct/20190607/P_356944_P_1_LISTE.jpg","image/jpeg","6238","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20161121/P_223197_P_1_LISTE.jpg","image/jpeg","1606","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20161121/P_223196_P_1_LISTE.jpg","image/jpeg","1606","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20241205/P_654002_P_1_LISTE_MEA.jpg","image/jpeg","48092","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20231011/P_652737_P_1_LISTE.jpg","image/jpeg","4913","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230328/P_447650_P_1_LISTE.jpg","image/jpeg","4898","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20140528/P_83183_P_1_LISTE.jpg","image/jpeg","2388","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230328/P_83411_P_1_LISTE.jpg","image/jpeg","4891","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318638_P_1_LISTE.jpg","image/jpeg","2996","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318659_P_1_LISTE.jpg","image/jpeg","3517","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318644_P_1_LISTE.jpg","image/jpeg","3010","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20191209/P_318665_P_1_LISTE.jpg","image/jpeg","3075","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20171031/P_476458_P_1_LISTE.jpg","image/jpeg","2899","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318640_P_1_LISTE.jpg","image/jpeg","3151","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318654_P_1_LISTE.jpg","image/jpeg","3058","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180425/P_476461_P_1_LISTE.jpg","image/jpeg","3538","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318648_P_1_LISTE.jpg","image/jpeg","3118","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180425/P_318653_P_1_LISTE.jpg","image/jpeg","3459","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190611/P_318763_P_1_LISTE_MEA.jpg","image/jpeg","6344","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190611/P_318736_P_1_LISTE.jpg","image/jpeg","3211","1","Indexable","",""
