"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/tranchefile-signet-1595.r.html","1","TRANCHEFILE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","114","697","Indexable",""
"https://www.rougier-ple.fr/faber-castell.r.html","1","FABER-CASTELL sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","116","711","Indexable",""
"https://www.rougier-ple.fr/carte-enveloppe-bloc.r.html","1","CARTE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","650","Indexable",""
"https://www.rougier-ple.fr/plume-pompon-paillette.r.html","1","PLUME sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","652","Indexable",""
"https://www.rougier-ple.fr/les-marques.r.html","1","LES MARQUES sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","114","699","Indexable",""
"https://www.rougier-ple.fr/encre-de-chine-2997.r.html","1","ENCRE DE CHINE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","716","Indexable",""
"https://www.rougier-ple.fr/aerographie.r.html","1","Aérographie : 
				Fournitures et matériel du rayon 
				Aérographie 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","136","728","Indexable",""
"https://www.rougier-ple.fr/sac-artiste-carton-dessin-1588.r.html","1","SAC D'ARTISTE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","116","703","Indexable",""
"https://www.rougier-ple.fr/cricut-autopress-professionnelle.r.html","1","Voici la presse à chaud professionnelle parfaite pour une utilisation à la maison. Alliant une puissance de niveau professionnel à un design élégant et co","154","950","Indexable",""
"https://www.rougier-ple.fr/peinture-gouache.r.html","1","Peinture Gouache : 
				Fournitures et matériel du rayon 
				Peinture Gouache 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","146","796","Indexable",""
"https://www.rougier-ple.fr/stylo-quatre-couleurs.r.html","1","STYLO 4 COULEURS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","734","Indexable",""
"https://www.rougier-ple.fr/reliure.r.html","1","Reliure : 
				Fournitures et matériel du rayon 
				Reliure 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","128","662","Indexable",""
"https://www.rougier-ple.fr/faq.r.html","1","","0","0","Indexable",""
"https://www.rougier-ple.fr/enfant-deco-anniversaire.r.html","1","DÉCORATION ANNIVERSAIRE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","126","793","Indexable",""
"https://www.rougier-ple.fr/book.r.html","1","BOOK sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","107","643","Indexable",""
"https://www.rougier-ple.fr/pate-modeler-1598.r.html","1","PÂTE À MODELER sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","117","720","Indexable",""
"https://www.rougier-ple.fr/papier-technique.r.html","1","PAPIER TECHNIQUE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","119","734","Indexable",""
"https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","1","ACCESSOIRE ARTS-GRAPHIQUES sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","129","817","Indexable",""
"https://www.rougier-ple.fr/gomme-1591.r.html","1","GOMME sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","658","Indexable",""
"https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","1","CADRE EN BOIS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","116","706","Indexable",""
"https://www.rougier-ple.fr/cyanotype.r.html","1","CYANOTYPE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","112","686","Indexable",""
"https://www.rougier-ple.fr/colle-adhesif.r.html","1","COLLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","648","Indexable",""
"https://www.rougier-ple.fr/cosmetiques.r.html","1","AROMATHÉRAPIE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","116","720","Indexable",""
"https://www.rougier-ple.fr/puzzle-enfants.r.html","1","PUZZLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","656","Indexable",""
"https://www.rougier-ple.fr/crayon-de-couleur-feutre.r.html","1","CRAYON sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","661","Indexable",""
"https://www.rougier-ple.fr/peinture-chaussures-vetements.r.html","1","PEINTURE POUR CHAUSSURES ET VÊTEMENTS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","140","908","Indexable",""
"https://www.rougier-ple.fr/chevalet-1587.r.html","1","CHEVALET sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","675","Indexable",""
"https://www.rougier-ple.fr/dessin-technique.r.html","1","Dessin Technique : 
				Fournitures et matériel du rayon 
				Dessin Technique 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","146","797","Indexable",""
"https://www.rougier-ple.fr/pastel-1589.r.html","1","PASTEL sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","656","Indexable",""
"https://www.rougier-ple.fr/silicone-latex.r.html","1","SILICONE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","667","Indexable",""
"https://www.rougier-ple.fr/calame.r.html","1","CALAME sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","662","Indexable",""
"https://www.rougier-ple.fr/regle-reglet-echelle.r.html","1","RÈGLE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","108","648","Indexable",""
"https://www.rougier-ple.fr/entreprise.r.html","1","","0","0","Indexable",""
"https://www.rougier-ple.fr/format-raisin.r.html","1","FORMAT RAISIN sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","116","710","Indexable",""
"https://www.rougier-ple.fr/paques.r.html","1","PRINTEMPS CRÉATIF sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","120","742","Indexable",""
"https://www.rougier-ple.fr/peinture-huile.r.html","1","Peinture à l'Huile : 
				Fournitures et matériel du rayon 
				Peinture à l'Huile 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","150","785","Indexable",""
