"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/pate-modeler-1598.r.html","1","Pâte à modeler, pâte à sel","26","227","Indexable",""
"https://www.rougier-ple.fr/papier-technique.r.html","1","Papier technique et Papier calque - Rougier & Plé","49","429","Indexable",""
"https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","1","Accessoire Arts Graphique - Accessoires Arts Graphique","54","498","Indexable",""
"https://www.rougier-ple.fr/gomme-1591.r.html","1","Gomme Arts Graphiques","21","219","Indexable",""
"https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","1","Cadre en bois - Cadre en bois de toutes tailles | Rougier&Plé","61","526","Indexable",""
"https://www.rougier-ple.fr/cyanotype.r.html","1","Impression cyanotype photosensible sur Rougier&Plé","50","473","Indexable",""
"https://www.rougier-ple.fr/colle-adhesif.r.html","1","Colle et  Adhésif - Rougier & Plé","33","273","Indexable",""
"https://www.rougier-ple.fr/cosmetiques.r.html","1","Aromathérapie chez Rougier & Plé","32","302","Indexable",""
"https://www.rougier-ple.fr/puzzle-enfants.r.html","1","Puzzle, Casse-tête, Maquette, Jeux de construction | Rougier&Plé<br type=""_moz"" />","82","574","Indexable",""
"https://www.rougier-ple.fr/crayon-de-couleur-feutre.r.html","1","Crayon de couleur, Crayon à papier, Feutre enfant | Rougier&Plé<br type=""_moz"" />","81","558","Indexable",""
"https://www.rougier-ple.fr/peinture-chaussures-vetements.r.html","1","Produits pour customiser des chaussures et des vêtements","56","526","Indexable",""
"https://www.rougier-ple.fr/chevalet-1587.r.html","1","Chevalet en bois peinture pas cher - Chevalet atelier","53","455","Indexable",""
"https://www.rougier-ple.fr/dessin-technique.r.html","1","Outils dessin Technique pas cher - Vente fourniture - Rougier & Plé","67","585","Indexable",""
"https://www.rougier-ple.fr/pastel-1589.r.html","1","Pastel sec pas cher - Vente pastels gras - Rougier & Plé","56","486","Indexable",""
"https://www.rougier-ple.fr/silicone-latex.r.html","1","Silicone, Latex sur Rougier & Plé","33","284","Indexable",""
"https://www.rougier-ple.fr/calame.r.html","1","Calame de calligraphie sur Rougier&Plé","38","348","Indexable",""
"https://www.rougier-ple.fr/regle-reglet-echelle.r.html","1","Règle, Réglet, Echelle","22","186","Indexable",""
"https://www.rougier-ple.fr/entreprise.r.html","1","L' Entreprise - Rougier & Plé","29","242","Indexable",""
"https://www.rougier-ple.fr/format-raisin.r.html","1","Papiers et cartons au format raisin 50x65 cm sur Rougier&Plé","60","546","Indexable",""
"https://www.rougier-ple.fr/paques.r.html","1","Printemps Créatif chez Rougier & Plé","36","326","Indexable",""
"https://www.rougier-ple.fr/peinture-huile.r.html","1","Tout pour la peinture à l'huile ! Peintures, coffrets et accessoires ","69","566","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/huile.r.html","1","Peinture à l'huile Beaux-Arts à la couleur ou en coffret | Rougier&Plé","70","596","Indexable",""
"https://www.rougier-ple.fr/peinture-par-numero.r.html","1","Peinture par numéro Figued'art sur Rougier&Plé","46","420","Indexable",""
"https://www.rougier-ple.fr/posca-1315.r.html","1","Marqueur POSCA feutre POSCA pas cher achat unité malette Rougier & Plé","70","661","Indexable",""
"https://www.rougier-ple.fr/materiel-architecture.r.html","1","Matériel architecture chez Rougier & Plé","40","353","Indexable",""
"https://www.rougier-ple.fr/ciseaux-colle.r.html","1","Ciseaux, Colle, Kit Collage pour enfant | Rougier&Plé<br type=""_moz"" />","71","459","Indexable",""
"https://www.rougier-ple.fr/moule-resine.r.html","1","Moule, Plaque de texture chez Rougier & Plé","43","388","Indexable",""
"https://www.rougier-ple.fr/presse.r.html","1","Presse - Rougier & Plé","22","195","Indexable",""
"https://www.rougier-ple.fr/magasins.r.html","1","Nos magasins Artéïs, Artpro, Color'i, Graphigro et Rougier & Plé","64","557","Indexable",""
"https://www.rougier-ple.fr/objets-decorer-bois-papier-mache.r.html","1","Objets à décorer - Support à décorer - Rougier & Plé","52","452","Indexable",""
"https://www.rougier-ple.fr/crea-1257.r.html","1","Créa achat en ligne - Vente produits Créa pas cher - Rougier & Plé","66","574","Indexable",""
"https://www.rougier-ple.fr/crayon-porte-mine-mine.r.html","1","Achat crayon à papier - Vente mine et porte-mine pas cher - Rougier&Plé","71","635","Indexable",""
"https://www.rougier-ple.fr/pastel.r.html","1","Peinture pastel - Crayon pastel - Rougier & Plé","47","404","Indexable",""
"https://www.rougier-ple.fr/plan-du-site.r.html","1","Plan du site – Rougier & Plé","28","245","Indexable",""
"https://www.rougier-ple.fr/calligraphie.r.html","1","Vente matériel calligraphie Arabe, Chinoise, Japonaise pas cher","63","560","Indexable",""
"https://www.rougier-ple.fr/paiement-securise.r.html","1","Paiement Sécurisé - Rougier & Plé","33","299","Indexable",""
"https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","1","Porte-mine et étui ou assortiment de mine pour le dessin chez Rouger-Plé","72","649","Indexable",""
"https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","1","Sac de transport, Carton à dessin, Tube","39","347","Indexable",""
"https://www.rougier-ple.fr/reception.r.html","1","Réception chez Rougier & Plé","28","259","Indexable",""
"https://www.rougier-ple.fr/trousse-2996.r.html","1","Trousse Legami, Tann's et Kickers sur Rougier&Plé","49","450","Indexable",""
"https://www.rougier-ple.fr/restauration.r.html","1","Matériaux et outils pour la Vannerie Cannage et Rempaillage Ebenisterie Restauration meuble ancien","98","888","Indexable",""
"https://www.rougier-ple.fr/papier-reliure.r.html","1","Papier reliure","14","117","Indexable",""
"https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","1","Herbier, Presse-fleur, Globe terrestre, Jumelles, Loupe | RougieréPlé","69","595","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-plume.r.html","1","Stylo, stylo plume","18","156","Indexable",""
"https://www.rougier-ple.fr/accessoire-encadrement.r.html","1","Accessoire Encadrement","22","221","Indexable",""
"https://www.rougier-ple.fr/feutre-marqueur.r.html","1","Marqueur pas cher - Vente malette marqueurs  - Rougier & Plé","60","540","Indexable",""
"https://www.rougier-ple.fr/les-marques/charbonnel.r.html","1","Encre Charbonnel par Lefranc Bourgeois - Rougier&Plé","52","482","Indexable",""
"https://www.rougier-ple.fr/livre.r.html","1","Livres créatifs enfant, Livres de coloriage et gommettes |Rougier&Plé","69","608","Indexable",""
"https://www.rougier-ple.fr/cadre-sous-verre.r.html","1","Cadre Sous-Verre - cadres pas cher - Rougier & Plé","50","445","Indexable",""
"https://www.rougier-ple.fr/scrapbooking.r.html","1","Scrapbooking : outils, matières, supports et accessoires pour le scrapbooking","77","686","Indexable",""
"https://www.rougier-ple.fr/feutres-alcool.r.html","1","Feutre à alcool Promarker, Créamarker, Copic sur Rougier&Plé<br type=""_moz"" />","78","548","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/gouache.r.html","1","Gouache de qualité Beaux-Arts à l'unité ou en coffret | Rougier&Plé","67","586","Indexable",""
"https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","1","Argile autodurcissante et pâtes autodurcissante pour modelage sur Rougier&Plé","77","710","Indexable",""
"https://www.rougier-ple.fr/peinture-acrylique.r.html","1","Acheter peinture acrylique - Vente peintures acryliques pas cher Gammes variées Étude Fine et Extra-Fine ","105","926","Indexable",""
"https://www.rougier-ple.fr/contact.r.html","1","Rougier & Plé - Formulaire de contact","37","328","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes2.r.html","1","Meilleures Ventes chez Rougier & Plé","36","328","Indexable",""
"https://www.rougier-ple.fr/cartable.r.html","1","Cartable Tann's et Kickers sur Rougier&Plé","42","377","Indexable",""
"https://www.rougier-ple.fr/sennelier.r.html","1","Sennelier achat en ligne - Vente produits Sennelier pas cher - Rougier & Plé","76","656","Indexable",""
"https://www.rougier-ple.fr/plume-calame.r.html","1","Achat Plume, Porte plume, Calame, pinceau de Calligraphie","57","522","Indexable",""
"https://www.rougier-ple.fr/nouveautes2.r.html","1","Nouveautés chez Rougier & Plé","29","276","Indexable",""
"https://www.rougier-ple.fr/modelage-fimo-pate-modeler-loisir.r.html","1","Modelage, Poterie - Pâte Fimo, Argile, Porcelaine | Rougier&Plé","63","552","Indexable",""
"https://www.rougier-ple.fr/aerographe-compresseur.r.html","1","Aérographe, Compresseur","23","232","Indexable",""
"https://www.rougier-ple.fr/les-marques-rougier-ple.r.html","1","Les marques MDD Rougier&Plé chez Rougier & Plé","46","447","Indexable",""
"https://www.rougier-ple.fr/peluche-poupee-diy.r.html","1","Peluches et Poupées à personnalisation ou à fabriquer | Rougier&Plé","67","606","Indexable",""
"https://www.rougier-ple.fr/decoupage-pliage-gomette.r.html","1","Gommettes et stickers pour enfant sur Rougier & Plé","51","464","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes-beaux-arts.r.html","1","Meilleures ventes Beaux-arts chez Rougier & Plé","47","424","Indexable",""
"https://www.rougier-ple.fr/carte-gratter-carte-pailleter.r.html","1","Carte à gratter, Carte à pailleter - Activités enfant | Rougier&Plé","67","550","Indexable",""
"https://www.rougier-ple.fr/vernis-colle-pinceau-1592.r.html","1","Vernis, Colle, Pinceau","22","190","Indexable",""
"https://www.rougier-ple.fr/coloriages-mysteres.r.html","1","Coloriages Mystères - Livre de coloriage au numéro, feutres et crayons sur Rougier&Plé","86","769","Indexable",""
"https://www.rougier-ple.fr/conditions-generales-vente.r.html","1","Conditions générales de vente - Rougier & Plé","45","400","Indexable",""
"https://www.rougier-ple.fr/encre-1596.r.html","1","Encre linogravure ","18","154","Indexable",""
"https://www.rougier-ple.fr/carterie-creative.r.html","1","Carterie créative - Carterie pas chère - Rougier & Plé","54","454","Indexable",""
"https://www.rougier-ple.fr/tableau-creatif-enfant.r.html","1","Tableau par numéros, Tableau pailleté, Tableau à tisser | Rougier&Plé","69","610","Indexable",""
"https://www.rougier-ple.fr/cuir-1594.r.html","1","Cuir","4","36","Indexable",""
"https://www.rougier-ple.fr/enfant-perle-bijoux.r.html","1","Perle, Kit Bijoux, métier à tisser, Elastique | Rouigier&Plé","60","490","Indexable",""
"https://www.rougier-ple.fr/enfant-fournitures-papeterie.r.html","1","Fournitures loisirs créatifs enfants et Papeterie enfant","56","476","Indexable",""
"https://www.rougier-ple.fr/loisirs-creatifs-plume.r.html","1","Plume décorative pour loisirs créatifs chez Rougier & Plé","57","500","Indexable",""
"https://www.rougier-ple.fr/programme-fidelite.html.r.html","1","Programme Fidélité - Rougier & Plé","34","308","Indexable",""
"https://www.rougier-ple.fr/beaux-arts/acrylique.r.html","1","Peinture Acrylique Beaux-Arts à l'unité ou en coffret | Rougier&Plé","67","577","Indexable",""
"https://www.rougier-ple.fr/vernis-patine.r.html","1","Vernis, patine","14","120","Indexable",""
"https://www.rougier-ple.fr/adhesifs-masking-tape.r.html","1","Maskingtape pas cher - Vente Masking Tape - Rougier & Plé","57","526","Indexable",""
"https://www.rougier-ple.fr/agenda-calendrier.r.html","1","Achat agenda pas cher - calendrier pas cher - vente agenda en ligne","67","594","Indexable",""
"https://www.rougier-ple.fr/pyrogravure.r.html","1","Pyrogravure sur bois - Coffret pyrograveur - Rougier & Plé","58","505","Indexable",""
"https://www.rougier-ple.fr/feutrine-mousse-creative-enfant.r.html","1","Feutrine, Mousse créative, Mousse Crepla pour enfant | Rougier&Plé","66","600","Indexable",""
"https://www.rougier-ple.fr/stylo-stylo-feutre.r.html","1","Stylo, Stylo feutre","19","154","Indexable",""
