"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.casapy.com/wp-content/uploads/2026/01/SWATCH-boston-chocolat-1-430x430.png","image/png","200","OK","Indexable","","0","0,075","",""
"https://cdn.jsdelivr.net/npm/@alma/widgets@4.X.X/dist/widgets.min.css?ver=4.x.x","text/css; charset=utf-8","200","OK","Indexable","","0","0,032","",""
"https://www.casapy.com/wp-content/themes/woodmart-child/style.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,075","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/scripts/wc/addToCartAllTypes.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,067","",""
"https://www.casapy.com/wp-content/uploads/2026/01/SWATCH-boston-chocolat-2-430x430.png","image/png","200","OK","Indexable","","0","0,071","",""
"https://www.casapy.com/wp-includes/js/dist/i18n.min.js?ver=c26c3dc7bed366793375","application/javascript","200","OK","Indexable","","0","0,296","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-widget-product-list.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,066","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/scripts/wc/miniCartQuantity.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,056","",""
"https://www.casapy.com/categorie-produit/notre-selection-velours-a-plat/","text/html; charset=UTF-8","200","OK","Indexable","","46","4,037","",""
"https://www.casapy.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","0","0,035","",""
"https://www.casapy.com/wp-content/uploads/2026/01/A144102_Casapy_Sirius_L_Lincoln_Perle_AMB3-430x430.jpg","image/jpeg","200","OK","Indexable","","0","0,034","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/scripts/menu/menuSetUp.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,034","",""
"https://www.casapy.com/categorie-produit/canapes-en-u-convertibles/","text/html; charset=UTF-8","200","OK","Indexable","","130","4,202","",""
"https://www.casapy.com/?page_id=3&preview=true","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","65","1,149","https://www.casapy.com/cgv/","Redirection HTTP"
"https://www.casapy.com/categorie-produit/tu-habites-un-appartement/","text/html; charset=UTF-8","200","OK","Indexable","","441","4,781","",""
"https://www.casapy.com/wp-content/themes/woodmart/css/parts/woo-mod-swatches-base.min.css?ver=7.5.1","text/css","200","OK","Indexable","","0","0,030","",""
"https://www.casapy.com/wp-content/themes/woodmart/js/libs/photoswipe-bundle.min.js?ver=7.5.1","application/javascript","200","OK","Indexable","","0","0,082","",""
"https://www.pinterest.com/pin/create/button/?description=VEGA%20Lincoln%20–%20convertible%20Taille%20S%20(3%20places)%20251×100&url=https://www.casapy.com/produit/vega-lincoln-convertible-taille-s-3-places-251x100/&media=https://www.casapy.com/wp-content/uploads/2026/02/A145199-B00_CASAPY_VEGA_S-CV3_LINCOLN_TERRA_AMB6.jpg","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","14","","",""
"https://www.casapy.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=10.5.1","application/javascript","200","OK","Indexable","","0","0,057","",""
