"Adresse","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Quasi-doublon le plus proche","Nombre de quasi-doublons","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Total des erreurs de langue","Erreurs d'orthographe","Erreurs de grammaire","Language","Hachage","Indexabilité","Statut d'indexabilité"
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-ras-al-khaimah/theme,28/pays,262/ville,/","734","179","4,101","89,719","Facile","","","","","","","","","","fr","47bc3e71d62ce51ff50e7f60f66abcdf","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-autriche/theme,28/pays,16/ville,/","418","116","3,603","100,000","Très facile","","","","","","","","","","fr","1367de8019dd83b732f17e8576d528b7","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-tunisie/theme,28/pays,219/ville,/","1774","518","3,425","100,000","Très facile","","","","","","","","","","fr","28435ec1639cb9dc97f58be79a4d3809","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-barcelone/theme,28/pays,66/ville,511/","650","189","3,439","100,000","Très facile","","","","","","","","","","fr","85380a69829244aef7c9ddeab16e6639","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-dubai-et-les-emirats/theme,28/pays,258/ville,/","1792","462","3,879","96,959","Très facile","","","","","","","","","","fr","41a254d0b1c89b7ff2de3b27654af8f7","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-floride/etats-unis/","2287","558","4,099","87,964","Facile","","","","","","","","","","fr","233e456714be4353425179315cd34ec3","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-rio/theme,28/pays,31/ville,1290/","742","192","3,865","99,728","Très facile","","","","","","","","","","fr","4a69a83b42814ac42c72d5654f88ec1e","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-fujairah/theme,28/pays,261/ville,/","478","113","4,230","80,951","Facile","","","","","","","","","","fr","2ffa83f8d5774cf1fe78e562e8f1e0bd","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-maldives/theme,28/pays,146/ville,/","1706","505","3,378","100,000","Très facile","","","","","","","","","","fr","788d62e50dd4f04d682ac6091b89e0fc","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-rhodes/theme,28/pays,114/ville,/","1665","455","3,659","97,129","Très facile","","","","","","","","","","fr","a6fd3cc8d993a0253542fcae78360f5","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-iles-grenadines/theme,28/pays,243/ville,/","1019","265","3,845","94,505","Très facile","","","","","","","","","","fr","5422899129b028589d07af99559b3c1f","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-monastir/theme,28/pays,219/ville,1074/","1407","400","3,518","100,000","Très facile","","","","","","","","","","fr","bc22b7e315402fdd293e98cc4883d39c","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-guadeloupe/theme,28/pays,100/ville,/","1849","523","3,535","100,000","Très facile","","","","","","","","","","fr","c41ad40fa9ed362bf89866a8743edd0b","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-madagascar/theme,28/pays,142/ville,/","642","170","3,776","97,450","Très facile","","","","","","","","","","fr","3e421d45c841549e3a1775e7a2067304","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-republique-dominicaine/theme,28/pays,183/ville,/","1864","528","3,530","96,639","Très facile","","","","","","","","","","fr","b5b31bea9a0a5ea441976be18c82dd6d","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-tanzanie/theme,28/pays,213/ville,/","1639","449","3,650","100,000","Très facile","","","","","","","","","","fr","247a2add64040d2c8f34daf1c36cc2f3","Indexable",""
"https://www.promovacances.com/vacances/vacances-en-famille/vacances-en-famille-fuerteventura/theme,28/pays,231/ville,/","1676","478","3,506","98,384","Très facile","","","","","","","","","","fr","5992bc2307a3d363f1cb942a720a4415","Indexable",""
