"Temps de réponse (en secondes)","URL","% du total"
"0 - 1","305","71.1"
"1 - 2","71","16.55"
"2 - 3","22","5.13"
"3 - 4","11","2.56"
"4 - 5","1","0.23"
"5 - 6","4","0.93"
"6 - 7","2","0.47"
"7 - 8","3","0.7"
"8 - 9","2","0.47"
"9 - 10","2","0.47"
"10+","6","1.4"
