"Adresse","Occurrences","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","Version canonique HTTP","Indexabilité","Statut d'indexabilité"
"https://www.promovacances.com/vacances-sejour-hotel/voyage-maroc/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-maroc/","","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-canaries/theme,/pays,38/ville,/","1","index, follow","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-canaries/theme,/pays,38/ville,/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-guadeloupe/antilles/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-guadeloupe/antilles/","","Indexable",""
"https://www.promovacances.com/idees-vacances/vacances-campings/","1","index, follow","","","https://www.promovacances.com/idees-vacances/vacances-campings/","","Indexable",""
"https://www.promovacances.com/voyage-de-groupe/","1","index, follow","","","https://www.promovacances.com/voyage-de-groupe/","","Indexable",""
"https://www.promovacances.com/idees-vacances/ventes-flash/","1","index, follow","","","https://www.promovacances.com/idees-vacances/ventes-flash/","","Indexable",""
"https://www.promovacances.com/idees-vacances/voyage-toussaint/","1","index, follow","","","https://www.promovacances.com/idees-vacances/voyage-toussaint/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-zanzibar/zanzibar/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-zanzibar/zanzibar/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-antilles/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-antilles/","","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-sri-lanka/theme,/pays,206/ville,/","1","index, follow","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-sri-lanka/theme,/pays,206/ville,/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-tunisie/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-tunisie/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-marrakech/marrakech-villes-imperiales-maroc/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-marrakech/marrakech-villes-imperiales-maroc/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-corfou/iles-grecques-grece/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-corfou/iles-grecques-grece/","","Indexable",""
"https://www.promovacances.com/resources/static/dist/reactVendor/reactVendor.js?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-crete/grece/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-crete/grece/","","Indexable",""
"https://www.promovacances.com/resources/static/dist/othersVendor/othersVendor.js?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-afrique-du-sud/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-afrique-du-sud/","","Indexable",""
"https://www.promovacances.com/fstrz/r/s/edgepic.fzcdn.net/8c81b980ca.svg","0","","","","","https://edgepic.fzcdn.net/8c81b980ca.svg","Non indexable","Canonisé"
"https://www.promovacances.com/resources/static/dist/pmvc/header_desktop.css?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/circuit-inde/beautes-du-rajasthan-62171.html","1","index, follow","","","https://www.promovacances.com/circuit-inde/beautes-du-rajasthan-62171.html","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-cuba/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-cuba/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-senegal/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-senegal/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-seychelles/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-seychelles/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-cap-vert/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-cap-vert/","","Indexable",""
"https://www.promovacances.com/resources/static/dist/vendor/vendor.js?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/qui-sommes-nous/","1","index, follow","","","https://www.promovacances.com/qui-sommes-nous/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-kenya/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-kenya/","","Indexable",""
"https://www.promovacances.com/resources/static/dist/svg/pinterest.svg?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/resources/static/dist/svg/twitter.svg?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/accueil/week-end-pas-cher/","1","index, follow","","","https://www.promovacances.com/accueil/week-end-pas-cher/","","Indexable",""
"https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-cuba/theme,/pays,56/ville,/","1","index, follow","","","https://www.promovacances.com/vacances/circuit-touristique/sejour-circuit-cuba/theme,/pays,56/ville,/","","Indexable",""
"https://www.promovacances.com/vol-pas-cher/","1","index, follow","","","https://www.promovacances.com/vol-pas-cher/","","Indexable",""
"https://www.promovacances.com/idees-vacances/offres-coup-de-coeur/","1","index, follow","","","https://www.promovacances.com/idees-vacances/offres-coup-de-coeur/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-republique-dominicaine/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-republique-dominicaine/","","Indexable",""
"https://www.promovacances.com/hotel-jumbo-quercus/croatie-drvenik-60089.html","1","index, follow","","","https://www.promovacances.com/hotel-jumbo-quercus/croatie-drvenik-60089.html","","Indexable",""
"https://www.promovacances.com/resources/static/dist/pmvc/home.css?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/resources/static/dist/header_desktop/header_desktop.js?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-canaries/espagne/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-canaries/espagne/","","Indexable",""
"https://www.promovacances.com/accueil/hotel-club-vacances/","1","index, follow","","","https://www.promovacances.com/accueil/hotel-club-vacances/","","Indexable",""
"https://www.promovacances.com/resources/static/dist/babelRuntime/babelRuntime.js?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/resources/static/dist/svg/instagram.svg?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/accueil/vacances-au-soleil/","1","index, follow","","","https://www.promovacances.com/accueil/vacances-au-soleil/","","Indexable",""
"https://www.promovacances.com/agences-de-voyages/","1","noindex,follow","","","https://www.promovacances.com/agences-de-voyages/","","Non indexable","noindex"
"https://www.promovacances.com/idees-vacances/week-end-amoureux/","1","index, follow","","","https://www.promovacances.com/idees-vacances/week-end-amoureux/","","Indexable",""
"https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-majorque/baleares-espagne/","1","index, follow","","","https://www.promovacances.com/vacances-sejour-hotel/voyage-hotel-majorque/baleares-espagne/","","Indexable",""
"https://www.promovacances.com/resources/static/dist/svg/facebook.svg?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/resources/static/dist/svg/youtube.svg?r=edc974b935494fc24f6fa8e225835003","0","","","","","","Indexable",""
"https://www.promovacances.com/idees-vacances/black-friday/","1","index, follow","","","https://www.promovacances.com/idees-vacances/black-friday/","","Indexable",""
