"Adresse","Code HTTP","Title 1"
"https://www.infopro-digital.com/fr/protection-des-donnees/pt/","200","POLÍTICA DE DADOS PESSOAIS - Infopro Digital"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-a-signe-un-accord-en-vue-dacquerir-la-division-hse-du-groupe-karnov-et-renforce-son-offre-de-solutions-logicielles-pour-la-veille-reglementaire-et-la-conformite-en-matiere-d/","200","[Communiqué] Infopro Digital a signé un accord en vue d’acquérir la division HSE du groupe Karnov et renforce son offre de solutions logicielles pour la veille réglementaire et la conformité en matière d’HSE - Infopro Digital"
"https://www.infopro-digital.com/fr/protection-des-donnees/eng/","200","PERSONAL DATA POLICY - Infopro Digital"
"https://www.infopro-digital.com/fr/protection-des-donnees/es/","200","POLÍTICA DE DATOS PERSONALES - Infopro Digital"
"https://www.infopro-digital.com/fr/protection-des-donnees/nl/","200","BELEID INZAKE PERSOONSGEGEVENS - Infopro Digital"
"https://www.infopro-digital.com/fr/protection-des-donnees/fr/","200","POLITIQUE EN MATIÈRE DE DONNÉES PERSONNELLES - Infopro Digital"
"https://www.infopro-digital.com/fr/protection-des-donnees/de/","200","RICHTLINIE ZUM SCHUTZ PERSONENBEZOGENER DATEN - Infopro Digital"
"https://www.infopro-digital.com/careers/","200","Hiring digital, tech, sales, and content experts"
"https://www.infopro-digital.com/fr/protection-des-donnees/politica-privind-datele-cu-caracter-personal/","200","POLITICA PRIVIND DATELE CU CARACTER PERSONAL - Infopro Digital"
"https://www.infopro-digital.com/fr/protection-des-donnees/it/","200","INFORMATIVA SUI DATI PERSONALI - Infopro Digital"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=marketing","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=commerce","200","Job Board - Infopro Digital"
"https://www.infopro-digital.com/rgpd-gdpr/fr/","301",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-acteur-majeur-du-paysage-technologique-francais/","200","[Communiqué] Infopro Digital, acteur majeur du paysage technologique français - Infopro Digital"
