"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Violations All","Violations Best Practice","Violations WCAG 2.0 A","Violations WCAG 2.0 AA","Violations WCAG 2.0 AAA","Violations WCAG 2.1 AA","Violations WCAG 2.2 AA","Statut de la requête PSI"
"https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/pt/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-a-signe-un-accord-en-vue-dacquerir-la-division-hse-du-groupe-karnov-et-renforce-son-offre-de-solutions-logicielles-pour-la-veille-reglementaire-et-la-conformite-en-matiere-d/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/eng/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/es/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/nl/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/fr/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/de/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/careers/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/politica-privind-datele-cu-caracter-personal/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/it/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=marketing","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=commerce","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-acteur-majeur-du-paysage-technologique-francais/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/travailler-chez-infopro-digital/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/groupe/strategie-rse/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-est-classe-26eme-meilleur-employeur-en-2022-dans-la-categorie-tech-du-palmares-capital/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=contenu","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/media/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-index-de-legalite-femmes-hommes-2024/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=support","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=information-technology","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/solutions/lead-generation-platforms/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/carrieres/job-board/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/solutions/software-and-databases/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/group/international/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/solutions/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/sectors/construction-and-public-sector/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/legal-notice-and-gtu/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/fr/mot-de-passe-oublie/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/financial-access/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/nous-contacter/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/sectors/industry/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/sectors/risk-and-insurance/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/solutions/information-and-insights/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/cgv-des-editions-de-largus-de-lassurance-derniere-mise-a-jour-07-2024/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipdata-service/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-ipd-leads/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-infopro-digital-etudes/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/terms-and-conditions/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-ventes-conditions-generales-dabonnement-et-dutilisation-kheox/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-dabonnement-et-dutilisation-moniteur-juris-2/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-editions-du-moniteur/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-webinar-service/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-dabonnement-des-produits-de-presse-et-des-services-numeriques/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-et-dutilisation-des-produits-et-services-batiprix/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-for-selling-ad-space-press-internet-and-references/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-events/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/publicite-presse-internet-et-referencement/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/webinars/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-france-infopro-digital-stories/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/infopro-data/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/infopro-digital-etudes/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-formations/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-trophees/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipd-leads-service-last-updated-10-2025/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/fr/cgv/infopro-digital-stories/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/group/about-us/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/news/john-van-der-valk-joins-infopro-digital-as-managing-director-trade-shows/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/news/supporting-return-to-work-after-cancer/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-acquires-eucon-automotive-a-global-pricing-and-data-provider-for-the-automotive-aftermarket/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/news/appointment-of-ben-wood/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/news/discover-the-2023-environmental-social-and-governance-report/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/politica-privind-datele-cu-caracter-personal/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/it/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/fr/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/eng/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/nl/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/pt/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/de/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/careers/job-board/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/group/esg-strategy/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/data-protection/es/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=content","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/news/infopro-digital-a-mayor-player-in-the-french-technology-ecosystem/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=marketing","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/careers/working-at-infopro-digital/","text/html; charset=UTF-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=information-technology","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=sales","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/careers/job-board/?_jobs=support","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","","","","","","","",""
"https://www.infopro-digital.com/terms-and-conditions/publishing-licence/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
"https://www.infopro-digital.com/terms-and-conditions/in-house-e-learning/","text/html; charset=utf-8","200","OK","Indexable","","","","","","","","",""
