"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://www.argusdelassurance.com/","text/html; charset=utf-8","200","OK","2","4"
"https://www.infopro-digital-media.fr/","text/html; charset=UTF-8","200","OK","2","1"
"https://www.salonsimi.com/","text/html; charset=UTF-8","200","OK","2","2"
"https://www.lsa-conso.fr/","text/html; charset=UTF-8","200","OK","2","5"
"https://www.sido-event.com/","text/html; charset=iso-8859-1","301","Moved Permanently","2","2"
"https://www.sido-paris.com/","text/html","301","Moved Permanently","2","1"
"https://www.makeup-in.com/","text/html; charset=UTF-8","200","OK","2","1"
"https://www.salondesmaires.com/","text/html; charset=UTF-8","200","OK","2","2"
"https://www.sido-lyon.com/","text/html; charset=UTF-8","200","OK","2","1"
"https://www.patrimonia.fr/","text/html; charset=utf-8","200","OK","2","2"
"https://www.franchiseparis.com/","text/html; charset=utf-8","200","OK","2","2"
"https://www.lagazettedescommunes.com/","text/html; charset=UTF-8","200","OK","2","4"
"https://www.linkedin.com/in/laurentleenhardt/","","301","Moved Permanently","2","3"
"https://www.linkedin.com/in/nathalie-curvat-grosdidier-61604123/","text/html","999","Request denied","2","3"
"https://www.connectaftermarket-decisionatelier.com/","text/html; charset=utf-8","200","OK","3","1"
"https://www.sido-paris.com/en","text/html","301","Moved Permanently","3","1"
"https://fr.linkedin.com/in/christophe-czajka-70484b7","","301","Moved Permanently","2","3"
"https://www.sido-lyon.com/en/","text/html; charset=UTF-8","200","OK","3","1"
"https://www.makeup-in.com/en/","text/html; charset=UTF-8","200","OK","3","1"
"https://www.linkedin.com/in/sophie-le-menaheze-veron-47803816/","","301","Moved Permanently","2","3"
"https://www.edoeb.admin.ch/edoeb/fr/home/le-pfpdt/contact.html","text/html;charset=utf-8","404","Not Found","3","16"
"https://support.mozilla.org/fr/kb/protection-renforcee-contre-pistage-firefox-ordinateur?","","406","Not Acceptable","3","14"
"https://www.tpsonline.org.uk/","text/html","200","OK","3","16"
"https://www.bloctel.gouv.fr/","text/html; charset=UTF-8","200","OK","3","16"
"https://help.opera.com/en/latest/web-preferences/","text/html; charset=UTF-8","200","OK","3","14"
"https://support.google.com/chrome/answer/95647?hl=fr&hlrm=fr","text/html; charset=UTF-8","200","OK","3","14"
"https://cppa.ca.gov/","text/html","200","OK","3","16"
