"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTML 2","URL hreflang HTML 2","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","Déclaration d’accessibilité - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","en","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/actualites/lusine-nouvelle-se-reinvente-en-2021-media-b2b-industrie-digital/","L'Usine Nouvelle se réinvente en 2021 - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","[Press release] Infopro Digital has reached an agreement to acquire Karnov Group’s EHS division, enhancing its portfolio of software solutions for EHS legal monitoring and compliance - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/actualites/infopro-digital-a-signe-un-accord-en-vue-dacquerir-la-division-hse-du-groupe-karnov-et-renforce-son-offre-de-solutions-logicielles-pour-la-veille-reglementaire-et-la-conformite-en-matiere-d/","en","https://www.infopro-digital.com/news/press-release-infopro-digital-has-reached-an-agreement-to-acquire-karnov-groups-ehs-division-enhancing-its-portfolio-of-software-solutions-for-ehs-legal-monitoring-and-compliance/","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/automotive/","Innovative solutions for automotive after-sales service providers","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/contact-us/","Contact us - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/contact/","en","https://www.infopro-digital.com/contact-us/","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/retail/","Distribution trends and retail digitalization solutions","2","fr","https://www.infopro-digital.com/fr/secteurs/distribution/","en","https://www.infopro-digital.com/sectors/retail/","","","","","Indexable",""
"https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","Accessibility statement - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/declaration-daccessibilite-rgaa-4-1/","en","https://www.infopro-digital.com/accessibility-statement-rgaa-4-1/","","","","","Indexable",""
"https://www.infopro-digital.com/solutions/tradeshows/","Tradeshows to connect business communities","2","fr","https://www.infopro-digital.com/fr/expertises/salons-professionnels/","en","https://www.infopro-digital.com/solutions/tradeshows/","","","","","Indexable",""
"https://www.infopro-digital.com/sectors/","Experts in your industry: business challenges, dedicated software","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/group/","The B2B group expert on information, data and technologies","2","fr","https://www.infopro-digital.com/fr/groupe/","en","https://www.infopro-digital.com/group/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/groupe/a-propos/","L'expertise digitale au service des professionnels et des entreprises","2","fr","https://www.infopro-digital.com/fr/groupe/a-propos/","en","https://www.infopro-digital.com/group/about-us/","","","","","Indexable",""
